command started at 2026-03-09 04:32:43+00:00, finished at 2026-03-09 04:32:53+00:00 with exitcode=0
LAST SEEN   TYPE      REASON      OBJECT                                     MESSAGE
57m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-24r9z   Pulling image "ghcr.io/actions/actions-runner:latest"
57m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-24r9z   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 111ms (111ms including waiting). Image size: 540108575 bytes.
57m         Normal    Created     pod/arc-heavy-runners-mlqbj-runner-24r9z   Created container: runner
19m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-24vmd   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-24vmd to aks-heavy-22317745-vmss000002
19m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-24vmd   Pulling image "ghcr.io/actions/actions-runner:latest"
19m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-24vmd   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 98ms (98ms including waiting). Image size: 540108575 bytes.
19m         Normal    Started     pod/arc-heavy-runners-mlqbj-runner-24vmd   Started container runner
58m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-256m9   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-256m9 to aks-heavy-22317745-vmss000002
58m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-256m9   Pulling image "ghcr.io/actions/actions-runner:latest"
58m         Normal    Started     pod/arc-heavy-runners-mlqbj-runner-256m9   Started container runner
58m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-259vj   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-259vj to aks-heavy-22317745-vmss000002
58m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-259vj   Pulling image "ghcr.io/actions/actions-runner:latest"
92s         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-25cft   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-25cft to aks-heavy-22317745-vmss000002
63m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-25fb6   Pulling image "ghcr.io/actions/actions-runner:latest"
63m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-25fb6   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 70ms (70ms including waiting). Image size: 540108575 bytes.
47m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-25h8n   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-25h8n to aks-heavy-22317745-vmss000002
47m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-25h8n   Pulling image "ghcr.io/actions/actions-runner:latest"
47m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-25h8n   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 108ms (108ms including waiting). Image size: 540108575 bytes.
47m         Normal    Created     pod/arc-heavy-runners-mlqbj-runner-25h8n   Created container: runner
47m         Normal    Started     pod/arc-heavy-runners-mlqbj-runner-25h8n   Started container runner
17m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-25m68   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-25m68 to aks-heavy-22317745-vmss000002
17m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-25m68   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 84ms (84ms including waiting). Image size: 540108575 bytes.
